	t.test	welch.test	wilcox.test	f.test	kruskal.test	limma	rfe	rf	lasso	elasticnet	boosting	golub	shrinkcat	foldChange	majority voting
CLOCK	0	0	0	0	0	0	0	0	0	0	0	0	0	-5.985812945	0
TNFSF10	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.119709255	0
CST1	0	0	0	0	0	0	0	0	0	0	0	0	0	0.031113871	0
CPPED1	0	0	0	0	0	0	0	0	0	0	0	0	0	0.38670466	0
NDFIP2	0	0	0	0	0	0	0	0	0	0	0	0	0	-13.46120897	0
PDCD2	0	0	0	0	0	0	0	0	0	0	0	0	0	-4.926637495	0
SPG11	0	0	0	0	0	0	0	0	0	0	0	0	0	1.401738709	0
POC1B	0	0	0	0	0	0	0	0	0	0	0	0	0	-2.694346197	0
KLHL15	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.299882919	0
NAIP	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.154725199	0
LOC101927066	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.280996835	0
IFIH1	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.061029567	0
MIR142	0	0	0	0	0	0	0	0	0	0	0	0	0	-2.554373183	0
OAS1	0	0	0	0	0	0	0	0	0	0	0	0	0	-4.16688585	0
UTP11L	0	0	0	0	0	0	0	0	0	0	0	0	0	1.280024275	0
APOL3	0	0	0	0	0	0	0	0	0	0	0	0	0	0.270972774	0
ATAD2B	0	0	0	0	0	0	0	0	0	0	0	0	0	1.113326084	0
IL6ST	0	0	0	0	0	0	0	0	0	0	0	0	0	0.69975995	0
RAB11FIP3	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.686865905	0
GADD45A	0	0	0	0	0	0	0	0	0	0	0	0	0	3.41132809	0
CXCR2	0	0	0	0	0	0	0	0	0	0	0	0	0	0.705532523	0
SPATA13	0	0	0	0	0	0	0	0	0	0	0	0	0	0.099487327	0
PARP8	0	0	0	0	0	0	0	0	0	0	0	0	0	0.35236446	0
MSRB1	0	0	0	0	0	0	0	0	0	0	0	0	0	0.428390003	0
PIGK	0	0	0	0	0	0	0	0	0	0	0	0	0	-1.415123777	0
VNN2	0	0	0	0	0	0	0	0	0	0	0	0	0	0.559204565	0
NSUN7	0	0	0	0	0	0	0	0	0	0	0	0	0	0.049633682	0
PTPN7	0	0	0	0	0	0	0	0	0	0	0	0	0	0.188972176	0
UGCG	0	0	0	0	0	0	0	0	0	0	0	0	0	5.87099266	0
BPIFB1	0	0	0	0	0	0	0	0	0	0	0	0	0	-1.618316451	0
BAZ1A	0	0	0	0	0	0	0	0	0	0	0	0	0	0.294861659	0
KLRC4-KLRK1	0	0	0	0	0	0	0	0	0	0	0	0	0	3.58176205	0
OR4F3	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.410013601	0
LRRC8D	0	0	0	0	0	0	0	0	0	0	0	0	0	-3.964215961	0
CD93	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.973335074	0
DENND5B	0	0	0	0	0	0	0	0	0	0	0	0	0	0.622487618	0
AMELX	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.221112309	0
R3HCC1	0	0	0	0	0	0	0	0	0	0	0	0	0	-5.356164435	0
LOC100506860	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.265339948	0
GORASP2	0	0	0	0	0	0	0	0	0	0	0	0	0	7.200242957	0
NFAT5	0	0	0	0	0	0	0	0	0	0	0	0	0	4.235753134	0
UNC5B	0	0	0	0	0	0	0	0	0	0	0	0	0	-1.2504962	0
CDR1	0	0	0	0	0	0	0	0	0	0	0	0	0	7.900451705	0
CLPTM1	0	0	0	0	0	0	0	0	0	0	0	0	0	0.091020062	0
LRP5L	0	0	0	0	0	0	0	0	0	0	0	0	0	0.217414718	0
IL1R2	0	0	0	0	0	0	0	0	0	0	0	0	0	0.526436194	0
NELFCD	0	0	0	0	0	0	0	0	0	0	0	0	0	4.456920153	0
DPY19L1	0	0	0	0	0	0	0	0	0	0	0	0	0	1.922118233	0
TREML2	0	0	0	0	0	0	0	0	0	0	0	0	0	0.595723197	0
LINC01366	0	0	0	0	0	0	0	0	0	0	0	0	0	0.550488422	0
REPS2	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.88514646	0
FLJ44896	0	0	0	0	0	0	0	0	0	0	0	0	0	5.287570581	0
IL18RAP	0	0	0	0	0	0	0	0	0	0	0	0	0	0.280780649	0
SPINT1	0	0	0	0	0	0	0	0	0	0	0	0	0	-54.45160217	0
LOC100506235	0	0	0	0	0	0	0	0	0	0	0	0	0	-1.395812118	0
EPB41L5	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.875858547	0
RYR1	0	0	0	0	0	0	0	0	0	0	0	0	0	0.947091507	0
LOC731424	0	0	0	0	0	0	0	0	0	0	0	0	0	1.216577096	0
RNF125	0	0	0	0	0	0	0	0	0	0	0	0	0	-7.378957536	0
PHC2	0	0	0	0	0	0	0	0	0	0	0	0	0	0.387807423	0
AKAP11	0	0	0	0	0	0	0	0	0	0	0	0	0	-2.450933894	0
LOC100127886	0	0	0	0	0	0	0	0	0	0	0	0	0	0.895006601	0
PSMB8-AS1	0	0	0	0	0	0	0	0	0	0	0	0	0	0.263639625	0
MAFF	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.405534224	0
LOC100129406	0	0	0	0	0	0	0	0	0	0	0	0	0	1.237450171	0
MBOAT1	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.504570156	0
MIR101-1	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.669803343	0
SERPINB8	0	0	0	0	0	0	0	0	0	0	0	0	0	-19.19007734	0
LOC642236	0	0	0	0	0	0	0	0	0	0	0	0	0	542.037593	0
VNN3	0	0	0	0	0	0	0	0	0	0	0	0	0	0.116114298	0
LMO4	0	0	0	0	0	0	0	0	0	0	0	0	0	5.539250548	0
DYSF	0	0	0	0	0	0	0	0	0	0	0	0	0	0.860000691	0
MRPS10	0	0	0	0	0	0	0	0	0	0	0	0	0	1.364668732	0
HIST1H2AC	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.579709589	0
PIGP	0	0	0	0	0	0	0	0	0	0	0	0	0	-1.106433628	0
INAFM1	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.097445358	0
IDI2-AS1	0	0	0	0	0	0	0	0	0	0	0	0	0	0.358481713	0
SYNE2	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.656992236	0
TSPAN2	0	0	0	0	0	0	0	0	0	0	0	0	0	-1.439264301	0
CD3E	0	0	0	0	0	0	0	0	0	0	0	0	0	2.226236877	0
TMEM14B	0	0	0	0	0	0	0	0	0	0	0	0	0	-1.490030996	0
PITPNA	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.011208067	0
RHOH	0	0	0	0	0	0	0	0	0	0	0	0	0	0.197620601	0
DOCK5	0	0	0	0	0	0	0	0	0	0	0	0	0	0.479084821	0
RELL1	0	0	0	0	0	0	0	0	0	0	0	0	0	4.78398004	0
NSMCE1	0	0	0	0	0	0	0	0	0	0	0	0	0	1.725665746	0
BCL9	0	0	0	0	0	0	0	0	0	0	0	0	0	0.166315506	0
TRANK1	0	0	0	0	0	0	0	0	0	0	0	0	0	0.267815863	0
NBN	0	0	0	0	0	0	0	0	0	0	0	0	0	0.203135017	0
ZNF557	0	0	0	0	0	0	0	0	0	0	0	0	0	2.077033396	0
TNIP1	0	0	0	0	0	0	0	0	0	0	0	0	0	0.934960014	0
NKG7	0	0	0	0	0	0	0	0	0	0	0	0	0	0.815956836	0
FBXL13	0	0	0	0	0	0	0	0	0	0	0	0	0	0.824984568	0
KIAA0100	0	0	0	0	0	0	0	0	0	0	0	0	0	10.33422022	0
WWP1	0	0	0	0	0	0	0	0	0	0	0	0	0	2.765662012	0
PTGER2	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.707487402	0
SLAMF1	0	0	0	0	0	0	0	0	0	0	0	0	0	0.205786978	0
TRBC1	0	0	0	0	0	0	0	0	0	0	0	0	0	0.112558113	0
TBC1D4	0	0	0	0	0	0	0	0	0	0	0	0	0	1.525291988	0
NSL1	0	0	0	0	0	0	0	0	0	0	0	0	0	-6.393422809	0
MEFV	0	0	0	0	0	0	0	0	0	0	0	0	0	0.056352871	0
DCSTAMP	0	0	0	0	0	0	0	0	0	0	0	0	0	-2.730189939	0
NCR3LG1	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.124319455	0
CD8A	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.569084976	0
SPA17	0	0	0	0	0	0	0	0	0	0	0	0	0	-2.32544489	0
LOC100506258	0	0	0	0	0	0	0	0	0	0	0	0	0	-1.008112895	0
PLD3	0	0	0	0	0	0	0	0	0	0	0	0	0	-1.29815258	0
HMMR	0	0	0	0	0	0	0	0	0	0	0	0	0	-2.186757756	0
RRAS2	0	0	0	0	0	0	0	0	0	0	0	0	0	-1.874425764	0
DDIT4	0	0	0	0	0	0	0	0	0	0	0	0	0	0.27830392	0
AMFR	0	0	0	0	0	0	0	0	0	0	0	0	0	2.664571491	0
LMAN1	0	0	0	0	0	0	0	0	0	0	0	0	0	1.577566047	0
KLHDC8B	0	0	0	0	0	0	0	0	0	0	0	0	0	1.943466552	0
MRPS25	0	0	0	0	0	0	0	0	0	0	0	0	0	0.107313481	0
LRCH1	0	0	0	0	0	0	0	0	0	0	0	0	0	6.081847326	0
ADM	0	0	0	0	0	0	0	0	0	0	0	0	0	0.417832113	0
LINC01002	0	0	0	0	0	0	0	0	0	0	0	0	0	0.31537961	0
TNFAIP3	0	0	0	0	0	0	0	0	0	0	0	0	0	0.811393999	0
ZNF28	0	0	0	0	0	0	0	0	0	0	0	0	0	-1.144723911	0
IFITM3	0	0	0	0	0	0	0	0	0	0	0	0	0	0.598233496	0
PLK3	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.994592341	0
KLHL42	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.423871229	0
SLAMF7	0	0	0	0	0	0	0	0	0	0	0	0	0	0.723829421	0
SLC7A5	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.040750548	0
LPCAT1	0	0	0	0	0	0	0	0	0	0	0	0	0	0.613001181	0
PARN	0	0	0	0	0	0	0	0	0	0	0	0	0	0.175970404	0
GNLY	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.622281037	0
MAP3K8	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.588049255	0
SULT1B1	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.868924165	0
ZCCHC6	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.660488221	0
CLEC4E	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.507509432	0
CLEC2D	0	0	0	0	0	0	0	0	0	0	0	0	0	3.019147731	0
BRAF	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.17993193	0
CDC40	0	0	0	0	0	0	0	0	0	0	0	0	0	1.630221418	0
RNF19B	0	0	0	0	0	0	0	0	0	0	0	0	0	-10.47845032	0
ZFP69B	0	0	0	0	0	0	0	0	0	0	0	0	0	0.280137562	0
SLC25A20	0	0	0	0	0	0	0	0	0	0	0	0	0	1.971071458	0
FPR2	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.118425928	0
TMEM88	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.431395427	0
C11orf31	0	0	0	0	0	0	0	0	0	0	0	0	0	1.585059522	0
ETV5	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.641724533	0
SPACA6P	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.381372168	0
PTP4A3	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.897737056	0
LINC01000	0	0	0	0	0	0	0	0	0	0	0	0	0	0.549196404	0
RNF175	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.314961769	0
SCGB1A1	0	0	0	0	0	0	0	0	0	0	0	0	0	1.926592649	0
N4BP1	0	0	0	0	0	0	0	0	0	0	0	0	0	0.610096621	0
LINC01136	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.698367035	0
ARHGAP26	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.022796311	0
OR2A7	0	0	0	0	0	0	0	0	0	0	0	0	0	-11.99622889	0
ZNF570	0	0	0	0	0	0	0	0	0	0	0	0	0	0.551658683	0
TBPL1	0	0	0	0	0	0	0	0	0	0	0	0	0	3.276161191	0
CD300LF	0	0	0	0	0	0	0	0	0	0	0	0	0	-55.27259065	0
ETFA	0	0	0	0	0	0	0	0	0	0	0	0	0	-3.563820592	0
CXCR1	0	0	0	0	0	0	0	0	0	0	0	0	0	0.511268227	0
CYB5D1	0	0	0	0	0	0	0	0	0	0	0	0	0	6.299965482	0
RLF	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.906920781	0
FAM135A	0	0	0	0	0	0	0	0	0	0	0	0	0	-2.854081621	0
ANTXR2	0	0	0	0	0	0	0	0	0	0	0	0	0	0.123084106	0
KCNJ15	0	0	0	0	0	0	0	0	0	0	0	0	0	0.394313561	0
LIMK2	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.941296069	0
SORD	0	0	0	0	0	0	0	0	0	0	0	0	0	0.595312192	0
LOC388210	0	0	0	0	0	0	0	0	0	0	0	0	0	0.370057823	0
NLRP2	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.154038773	0
CD177	0	0	0	0	0	0	0	0	0	0	0	0	0	0.684598311	0
LINC01093	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.586532702	0
